!!Order!!   Call   Name
# Also called RDXC CW-SSB    
# Last Edit  2021-03-20  
# RUSSIANDX    
# Send info   corrections direct to ve2fk@arrl.net  
# Thanks info via Nick/NA3M    
#    
R0/KE5JA    SL
R0/N6TCZ    PK
R0AA    KK
R0AAT    KK
R0AB    KK
R0ABD    KK
R0ACQ    KK
R0AD    KK
R0ADU    KK
R0AEE    KK
R0AET    KK
R0AEW    KK
R0AFF    KK
R0AGO    KK
R0AIB    KK
R0AIB/3    VR
R0AK    KK
R0AO    KK
R0AS    KK
R0CAF    HK
R0CBA    HK
R0CBD    HK
R0CBI    HK
R0CBK    HK
R0CBW    HK
R0CBY    HK
R0CBZ    HK
R0CD    HK
R0CE    HK
R0CM    HK
R0CQ    HK
R0CW    HK
R0CY    HK
R0DX    EA
R0FA    SL
R0FAF    SL
R0IAA    MG
R0JAJ    AM
R0JAS    AM
R0JD    AM
R0JF    AM
R0JY    AM
R0LFT    PK
R0LL    PK
R0LM    PK
R0LS    PK
R0MM    PK
R0MZ    PK
R0QA    YA
R0QAF    YA
R0QAH    YA
R0RC    IR
R0RG    IR
R0RQ    IR
R0RT    IR
R0SBZ    IR
R0SI    IR
R0SR    IR
R0TR    IR
R0TU    IR
R0TV    IR
R0UAL    ZK
R0UT    ZK
R0UTC    ZK
R0VZ    ZK
R0WA    HA
R0WAS    HA
R0WAV    HA
R0WBG    HA
R0WC    HA
R0WR    HA
R0XA    KT
R0XAC    KT
R0XAC/1    LO
R1000M    MD
R1000YR    YR
R100AP    KO
R100W    BA
R10DDX    MO
R10RLHA    VO
R10RLHA/1    LO
R110RAEM    NS
R1150NV    NV
R1150V    VL
R1150VN    NV
R11BIA    AD
R11PSB    MA
R12APR    SM
R135TU    TO
R13CWC    KI
R140L    SR
R155ASP    SP
R155IP    TV
R155NN    NN
R155RP    KN
R18KDR/3    IV
R1941MB    MO
R1943KB    KU
R1943O    OR
R1961G    SM
R1A-12    SP
R1AC    SP
R1AHY    SP
R1AIT    SP
R1AK    SP
R1AL    SP
R1AMN    SP
R1AO    SP
R1AP    SP
R1AS    SP
R1ASP    SP
R1AT    SP
R1AT/1    KL
R1AT/M    LO
R1ATK    SP
R1AU    SP
R1AUB    SP
R1AUR    SP
R1AVM    SP
R1AX    SP
R1AY    LO
R1AZ    SP
R1B    SP
R1BBL    SP
R1BBT    SP
R1BBU    SP
R1BCE    SP
R1BCK    SP
R1BCM    SP
R1BCO    SP
R1BDW    SP
R1BEL    SP
R1BEV    PS
R1BP    SP
R1BW    SP
R1CA    LO
R1CAA    LO
R1CAK    LO
R1CAM    LO
R1CBN    LO
R1CBR    LO
R1CBS    LO
R1CC    LO
R1CF    SP
R1CF/M    LO
R1CN    LO
R1CX    LO
R1DM    LO
R1DX    SP
R1FW    LO
R1FW/QRP    LO
R1FZ    SP
R1IC    KO
R1IK    KO
R1IO    KO
R1IV    KO
R1LB    SP
R1LK    SP
R1LN    SP
R1MA    SP
R1MA/1    LO
R1MQ    SP
R1NA    KL
R1ND    KL
R1NEO    KL
R1NF    KL
R1NI    KL
R1NJ    KL
R1NN    KL
R1NO    KL
R1NR    KL
R1NU    KL
R1NV    KL
R1NW    KL
R1NW/3    NN
R1OAC    AR
R1OAI    AR
R1OAM    AR
R1OO    AR
R1OO/1    VO
R1QA    VO
R1QE    VO
R1QV    VO
R1SA    VO
R1TE    NV
R1TEU    NV
R1TX    NV
R1WBB    PS
R1WD    PS
R1YY    MU
R1ZA    MU
R1ZAA    MU
R1ZAB    MU
R1ZBE    MU
R1ZM    MU
R1ZZ    MU
R1ZZ/1    NV
R2009IT    MO
R2013T    NS
R2014I    KO
R2015TA    SR
R20BIS    BA
R210ASP    MO
R22FIS    KI
R22FRS    TB
R22SPS    AO
R250GS    MA
R25ZIN    BO
R27SAT    MR
R27TTT    NN
R27UFA    BA
R2AA    VR
R2AAM    MA
R2AB    MO
R2AB/4    NN
R2ACL    MA
R2ACR    MA
R2AD    MA
R2ADF    MA
R2ADF/A    MO
R2ADI    MA
R2ADJ    MO
R2ADJ/R2AEO    MA
R2AF    MA
R2AF/3    MO
R2AGP    MA
R2AGS    MA
R2AHC    MO
R2AHH    MA
R2AHR    MA
R2AHS    MA
R2AKM    MA
R2AKO    MA
R2AKS    MA
R2AKS/1    NV
R2AL    MA
R2ANX    MA
R2AOQ    MA
R2AP    MA
R2AP/6    RK
R2ARR    MA
R2AT    MA
R2ATC    MA
R2ATW    MA
R2AVV    MA
R2AWV    MO
R2CA    MA
R2CC    MA
R2DA    MO
R2DAE    MO
R2DAG    MO
R2DAI    MO
R2DAW    MO
R2DAX    MO
R2DBC    MO
R2DBF    MO
R2DCG    MO
R2DCH    MO
R2DCK    MO
R2DD    MO
R2DDD    MO
R2DDH    MO
R2DDO    MO
R2DEE    MO
R2DEM    MO
R2DEQ    MO
R2DEQ/3    IV
R2DFD    MO
R2DFE    MO
R2DG    MO
R2DGD    MO
R2DGG    MO
R2DGH    MO
R2DGO    MO
R2DGZ    MO
R2DHI    MO
R2DIC    MO
R2DLM    MO
R2DM    MO
R2DMC    MO
R2DNT    MO
R2DNZ    MO
R2DO    MO
R2DPM    MO
R2DQ    MO
R2DQC    MO
R2DRC    MO
R2DRQ    MO
R2DS    MO
R2DT    MO
R2DTE    MO
R2DU    MO
R2DW    MO
R2DX    MO
R2DX/R2DX/6    AO
R2EA    OR
R2EA/M    OR
R2EAA    OR
R2EC    OR
R2ED    OR
R2EL    OR
R2EM    OR
R2ET    OR
R2ET/9    NS
R2EW    OR
R2FAF    KA
R2FAM    KA
R2FAS    KA
R2FAT    KA
R2FAZ    KA
R2FBG    KA
R2FBK    KA
R2FBQ    KA
R2FI    KA
R2FZ    KA
R2GAB    LP
R2GB    LP
R2GBA    LP
R2GBC    LP
R2GM    LP
R2GNP    LP
R2HM    MO
R2IN    TV
R2KMO    KA
R2KW    KA
R2LA    SM
R2LAC    SM
R2LAF    SM
R2LL    SM
R2MA    YR
R2MWO    KA
R2OA    VR
R2OFF    VR
R2OM    VR
R2PA    TL
R2PC    TL
R2PM    TL
R2PU    TL
R2QA    VR
R2RA    TB
R2RAU    TB
R2RDA    TB
R2RF    TB
R2RT    TB
R2RX    TB
R2SA    RA
R2SAG    RA
R2SAZ    RA
R2SM    RA
R2SP    RA
R2SW    RA
R2TT    NN
R2TT/3    VL
R2UZ    IV
R2VA    VL
R2VM    VL
R2WW    KU
R2WW/QRP    KU
